id,study_ext,study,author,year,st_names,journal,country,blinding,intervention,control,women_per,timing,fi,fq,pval,fx_site,outcome,HR,lower,upper,Notes,e_con,n_rand_con,e_intv,n_rand_intv,x95_ci,p_value,pri_endpoint,sen_analysis,extended,notes,st_cohort,rep_loss,rep_withdr,rep_death,rep_compt,n_control,n_interven
a_1,6b,,Leder_ACTIVExtend,2020,Leder (2020)_exta1,JCEM,International,Double,Abaloparatide,Alendronate,1,4,4,0.0035971,0.0092162,Vert_24m,1,0.29,0.1,0.87,,16,581,3,558,"0.10, 0.87",0.027,0,1,1,post-hoc analysis/extended,postm osteoporotic women aged 49+,9,62,68,1861,568,544
a_2,1b,,Body_VERO,2020,Body (2020)_a1,OI,International,Double,Teriparatide_20,Risedronate,1,2,,,,MOF_12m,2,0.38,0.2,0.72,,24,680,10,680,"0.20, 0.72",0.003,0,0,0,VERO (2nd paper),Survival analysis: no loss to FU,,,,,680,680
a_3,1b,,Body_VERO,2020,Body (2020)_a2,OI,International,Double,Teriparatide_20,Risedronate,1,4,,,,MOF_24m,2,0.2,0.05,0.86,,40,680,16,680,"0.05, 0.86",0.031,0,0,0,VERO (2nd paper),Survival analysis: no loss to FU,,,,,680,680
a_4,1b,,Body_VERO,2020,Body (2020)_a3,OI,International,Double,Teriparatide_20,Risedronate,1,2,,,,ClinFx_12m,2,0.49,0.31,0.78,Did not report clinical fractures @ 24 months,34,680,18,690,"0.31, 0.78",0.003,0,0,0,VERO (2nd paper),Survival analysis: no loss to FU,,,,,680,680
a_5,1,1,Kendler_VERO,2018,Kendler (2018)_a1,Lancet,International,Double,Teriparatide,Risedronate,1,4,15,0.0142993,0.0002691,Vert_24m,1,0.44,0.29,0.68,,64,680,28,680,"[0.29,0.68]",0.0001,1,0,0,6 pt excluded from the analyses,"postm women aged 45+: <=-1.5, 2+ mod/1+ sev vert fx",12,185,20,1013,533,516
a_6,1,,Kendler_VERO,2018,Kendler (2018)_a2,Lancet,International,Double,Teriparatide,Risedronate,1,4,17,0.0162059,0.0002114,NworsenVert_24m,1,0.46,0.31,0.68,,69,680,31,680,"[0.31,0.68]",0.0001,0,0,0,,"postm women aged 45+: <=-1.5, 2+ mod/1+ sev vert fx",12,185,20,1013,533,516
a_7,1,,Kendler_VERO,2018,Kendler (2018)_a3,Lancet,International,Double,Teriparatide,Risedronate,1,4,12,0.0088235,0.0010345,ClinFx_24m,2,0.48,0.32,0.74,,61,680,30,680,"[0.32,0.74]",0.0009,0,0,0,,"postm women aged 45+: <=-1.5, 2+ mod/1+ sev vert fx",12,185,20,1013,563,538
a_8,1,,Kendler_VERO,2018,Kendler (2018)_a4,Lancet,International,Double,Teriparatide,Risedronate,1,4,2,0.0019066,0.0208278,MVert_24m,1,0.16,0.04,0.74,,12,680,2,680,"0.04, 0.74",0.007,0,0,0,,"postm women aged 45+: <=-1.5, 2+ mod/1+ sev vert fx",12,185,20,1013,533,516
a_9,1,,Kendler_VERO,2018,Kendler (2018)_a5,Lancet,International,Double,Teriparatide,Risedronate,1,2,3,0.0025884,0.0229448,Vert_12m,1,0.52,0.3,0.91,,18,680,35,680,"[0.3,0.91]",0.019,0,0,0,,"postm women aged 45+: <=-1.5, 2+ mod/1+ sev vert fx",12,185,20,1013,574,585
a_10,2,1,Reid,2018,Reid (2018)_a1,NEJM,NZ,Double,Zoledronate,Placebo,1,8,35,0.0175,0.000035,OFx_72m,2,0.63,0.5,0.79,,190,1000,122,1000,"[0.5,0.79]",0.0001,1,0,0,,osteopenic women aged 65+,9,62,68,1861,982,966
a_11,2,,Reid,2018,Reid (2018)_a2,NEJM,NZ,Double,Zoledronate,Placebo,1,8,17,0.0085,0.003724,ClinFx_72m,2,0.73,0.6,0.9,,214,1000,163,1000,"[0.6,0.9]",0.003,0,0,0,No. at risk for OFx_72m,osteopenic women aged 65+,9,62,68,1861,1006,1000
a_12,2,,Reid,2018,Reid (2018)_a3,NEJM,NZ,Double,Zoledronate,Placebo,1,8,9,0.0045,0.0023637,Vert_72m,1,0.45,0.27,0.73,,49,1000,23,1000,"[0.27,0.73]",0.0015,0,0,0,No. completed 72m FU. Pvalue from csi,osteopenic women aged 65+,9,62,68,1861,925,936
a_13,2,,Reid,2018,Reid (2018)_a4,NEJM,NZ,Double,Zoledronate,Placebo,1,8,6,0.003,0.0047679,ClinVert_72m,2,0.41,0.22,0.75,,34,1000,14,1000,"[0.22,0.75]",0.003,0,0,0,No. at risk not provided. Pvalue from csi,osteopenic women aged 65+,9,62,68,1861,925,936
a_14,2,,Reid,2018,Reid (2018)_a5,NEJM,NZ,Double,Zoledronate,Placebo,1,8,18,0.009,0.0015996,NonVert_72m,2,0.66,0.51,0.85,,148,1000,101,1000,"[0.51,0.85]",0.001,0,0,0,No. at risk for OFx_72m,osteopenic women aged 65+,9,62,68,1861,940,945
a_15,2,,Reid,2018,Reid (2018)_a6,NEJM,NZ,Double,Zoledronate,Placebo,1,8,8,0.004,0.0061054,ForearmWrist_72m,2,0.56,0.37,0.85,,63,1000,36,1000,"[0.37,0.85]",0.0033,0,0,0,No. at risk for OFx_72m,osteopenic women aged 65+,9,62,68,1861,855,880
a_16,3,1,Nakamura_ZONE,2017,Nakamura (2017)_a1,OI,Japan,Double,Zoledronate,Placebo,0.94,4,,,,Vert_24m,1,0.34,0.17,0.69,Only looked at primary analysis - 2 options present (1 = overall / 2 = specifically women),29,332,10,333,"0.17, 0.69",0.0016,1,0,0,,"Osteoporisis aged 65-89, fragility fracture, 1-4 vertfx",123,81,,,327,330
a_17,3,,Nakamura_ZONE,2017,Nakamura (2017)_a2,OI,Japan,Double,Zoledronate,Placebo,0.94,4,,,,ClinFx_24m,2,0.46,0.29,0.75,,52,332,24,333,"0.29, 0.75",0.0014,0,0,0,,"Osteoporisis aged 65-89, fragility fracture, 1-4 vertfx",123,81,,,331,330
a_18,3,,Nakamura_ZONE,2017,Nakamura (2017)_a3,OI,Japan,Double,Zoledronate,Placebo,0.94,4,,,,ClinVert_24m,1,0.3,0.11,0.82,,17,332,5,333,"0.11, 0.82",0.013,0,0,0,,"Osteoporisis aged 65-89, fragility fracture, 1-4 vertfx",123,81,,,331,330
a_19,3,,Nakamura_ZONE,2017,Nakamura (2017)_a4,OI,Japan,Double,Zoledronate,Placebo,0.94,4,,,,NonVert_24m,1,0.55,0.32,0.95,,37,332,20,333,"0.32, 0.95",0.0292,0,0,0,,"Osteoporisis aged 65-89, fragility fracture, 1-4 vertfx",123,81,,,331,330
a_20,4,1,Saag,2017,Saag (2017)_a1,NEJM,International,Double,Romosozumab,Alendronate,1,4,77,0.0188126,6.46e-10,Vert_24m,1,0.5,0.38,0.66,New vert fracture by LOCF,147,2047,74,2046,"0.38, 0.66",0.0001,1,0,0,True primary endpoint (Fx LOCF imputed),"postm women aged 55+: (i) <=-2.5, 1+mod/2+ mild vert, (ii) <=-2, 2+ mod vert or 1+ hip",67,514,192,3150,1834,1825
a_21,4,,Saag,2017,Saag (2017)_a2,NEJM,International,Double,Romosozumab,Alendronate,1,4,28,0.0068409,0.0008675,ClinFx_24m,2,0.73,0.61,0.88,Primary Analysis Period,266,2047,198,2046,"[0.61,0.88]",0.0001,1,0,0,Co-primary endpoint,"postm women aged 55+: (i) <=-2.5, 1+mod/2+ mild vert, (ii) <=-2, 2+ mod vert or 1+ hip",67,514,192,3150,1830,1813
a_22,4,,Saag,2017,Saag (2017)_a3,NEJM,International,Double,Romosozumab,Alendronate,1,4,77,0.0188126,6.46e-10,Vert_24m,1,0.52,0.4,0.66,Reported new vert fracture by multiple imputation (what was reported in actual paper),243,2047,127,2046,"[0.4,0.66]",0.0001,1,1,0,True primary endpoint (Fx MI imputed),"postm women aged 55+: (i) <=-2.5, 1+mod/2+ mild vert, (ii) <=-2, 2+ mod vert or 1+ hip",67,514,192,3150,2047,2046
a_23,4,,Saag,2017,Saag (2017)_a4,NEJM,International,Double,Romosozumab,Alendronate,1,2,18,0.0043978,0.0012619,Vert_12m,1,0.63,0.47,0.85,Reported new vert fracture by multiple imputation (what was reported in actual paper),128,2047,82,2046,"0.47, 0.85",0.003,0,1,0,Zero LTFU as missing X-ray was imputed using MI (post-hoc),"postm women aged 55+: (i) <=-2.5, 1+mod/2+ mild vert, (ii) <=-2, 2+ mod vert or 1+ hip",29,268,51,3654,2047,2046
a_24,4,,Saag,2017,Saag (2017)_a5,NEJM,International,Double,Romosozumab,Alendronate,1,2,18,0.0043978,0.0012619,Vert_12m,1,0.64,0.46,0.89,New vertebral fracture by LOCF,85,2047,55,2046,"0.46, 0.89",0.008,0,0,0,Missing X-ray was imputed using LOCF (primary),"postm women aged 55+: (i) <=-2.5, 1+mod/2+ mild vert, (ii) <=-2, 2+ mod vert or 1+ hip",29,268,51,3654,1703,1696
a_25,4,,Saag,2017,Saag (2017)_a6,NEJM,International,Double,Romosozumab,Alendronate,1,2,9,0.0026478,0.00824,NworsenVert_12m,1,0.66,0.49,0.89,,101,2047,67,2046,"0.49, 0.89",0.006,0,0,0,,"postm women aged 55+: (i) <=-2.5, 1+mod/2+ mild vert, (ii) <=-2, 2+ mod vert or 1+ hip",29,268,51,3654,1703,1696
a_26,4,,Saag,2017,Saag (2017)_a7,NEJM,International,Double,Romosozumab,Alendronate,1,2,5,0.0012216,0.0218215,ClinFx_12m,2,0.72,0.54,0.96,,110,2047,79,2046,"0.54, 0.96",0.027,0,0,0,,"postm women aged 55+: (i) <=-2.5, 1+mod/2+ mild vert, (ii) <=-2, 2+ mod vert or 1+ hip",29,268,51,3654,1853,1849
a_27,4,,Saag,2017,Saag (2017)_a8,NEJM,International,Double,Romosozumab,Alendronate,1,2,6,0.0014659,0.0157279,MajorNonVert_12m,2,0.67,0.48,0.94,,88,2047,59,2046,"0.48, 0.94",0.019,0,0,0,,"postm women aged 55+: (i) <=-2.5, 1+mod/2+ mild vert, (ii) <=-2, 2+ mod vert or 1+ hip",29,268,51,3654,1843,1835
a_28,4,,Saag,2017,Saag (2017)_a9,NEJM,International,Double,Romosozumab,Alendronate,1,2,21,0.0051307,0.001553,OFx_12m,2,0.71,0.57,0.88,,189,2047,134,2046,"0.57, 0.88",0.002,0,0,0,,"postm women aged 55+: (i) <=-2.5, 1+mod/2+ mild vert, (ii) <=-2, 2+ mod vert or 1+ hip",29,268,51,3654,1932,2046
a_29,4,,Saag,2017,Saag (2017)_a10,NEJM,International,Double,Romosozumab,Alendronate,1,4,48,0.0131183,3.27e-07,NworsenVert_24m,1,0.52,0.4,0.66,,168,2047,87,2046,"[0.4,0.66]",0.0001,0,0,0,,"postm women aged 55+: (i) <=-2.5, 1+mod/2+ mild vert, (ii) <=-2, 2+ mod vert or 1+ hip",67,514,192,3150,1834,1825
a_30,4,,Saag,2017,Saag (2017)_a11,NEJM,International,Double,Romosozumab,Alendronate,1,4,10,0.0024432,0.0013137,ClinVert_24m,2,0.41,0.24,0.71,,44,2047,18,2046,"0.24, 0.71",0.0001,0,0,0,,"postm women aged 55+: (i) <=-2.5, 1+mod/2+ mild vert, (ii) <=-2, 2+ mod vert or 1+ hip",67,514,192,3150,1608,1633
a_31,4,,Saag,2017,Saag (2017)_a12,NEJM,International,Double,Romosozumab,Alendronate,1,4,2,0.0004886,0.0398867,NonVert_24m,2,0.81,0.66,0.99,Primary Analysis Period,217,2047,178,2046,"[0.66,0.99]",0.037,0,0,0,,"postm women aged 55+: (i) <=-2.5, 1+mod/2+ mild vert, (ii) <=-2, 2+ mod vert or 1+ hip",67,514,192,3150,1807,1805
a_32,4,,Saag,2017,Saag (2017)_a13,NEJM,International,Double,Romosozumab,Alendronate,1,4,15,0.0036648,0.0050056,MajorNonVert_24m,2,0.73,0.59,0.9,Primary Analysis Period,196,2047,146,2046,"0.59, 0.90",0.004,0,0,0,,"postm women aged 55+: (i) <=-2.5, 1+mod/2+ mild vert, (ii) <=-2, 2+ mod vert or 1+ hip",67,514,192,3150,1786,1773
a_33,4,,Saag,2017,Saag (2017)_a14,NEJM,International,Double,Romosozumab,Alendronate,1,4,5,0.0012216,0.0154428,Hip_24m,2,0.62,0.42,0.92,Primary Analysis Period,66,2047,41,2046,"[0.42,0.92]",0.015,0,0,0,,"postm women aged 55+: (i) <=-2.5, 1+mod/2+ mild vert, (ii) <=-2, 2+ mod vert or 1+ hip",67,514,192,3150,1656,1668
a_34,4,,Saag,2017,Saag (2017)_a15,NEJM,International,Double,Romosozumab,Alendronate,1,4,78,0.0190569,1.14e-07,OFx_24m,2,0.65,0.56,0.76,Primary Analysis Period,392,2047,266,2046,"0.56, 0.99",0.0001,0,0,0,,"postm women aged 55+: (i) <=-2.5, 1+mod/2+ mild vert, (ii) <=-2, 2+ mod vert or 1+ hip",67,514,192,3150,1956,1881
a_35,4,,Saag,2017,Saag (2017)_a16,NEJM,International,Double,Romosozumab,Alendronate,1,4,27,0.0065966,0.00052,MOF_24m,2,0.68,0.55,0.84,Primary Analysis Period,209,2047,146,2046,"0.55, 0.84",0.0001,0,0,0,,"postm women aged 55+: (i) <=-2.5, 1+mod/2+ mild vert, (ii) <=-2, 2+ mod vert or 1+ hip",67,514,192,3150,1773,1761
a_36,5,1,Cosman_FRAME,2016,Cosman (2016)_a1,NEJM,International,Double,Romosozumab,Placebo,1,2,24,0.0036128,3.38e-06,Vert_12m,1,0.27,0.16,0.47,,59,3591,16,3589,"[0.16,0.47]",0.0001,1,0,0,RR reported,post women aged 55+ BMD -2.5 to -3.5,48,514,47,6390,3322,3321
a_37,5,,Cosman_FRAME,2016,Cosman (2016)_a2,NEJM,International,Double,Romosozumab,Placebo,1,2,8,0.0011142,0.0084878,ClinFx_12m,2,0.64,0.46,0.89,,90,3591,58,3589,"[0.46,0.89]",0.008,0,0,0,,post women aged 55+ BMD -2.5 to -3.5,48,514,47,6390,3224,3206
a_38,5,,Cosman_FRAME,2016,Cosman (2016)_a3,NEJM,International,Double,Romosozumab,Placebo,1,2,23,0.0032033,5.76e-06,NworsenVert_12m,1,0.29,0.17,0.49,,59,3591,17,3589,"[0.17, 0.49]",0.0001,0,0,0,,post women aged 55+ BMD -2.5 to -3.5,48,514,47,6390,3322,3589
a_39,5,,Cosman_FRAME,2016,Cosman (2016)_a4,NEJM,International,Double,Romosozumab,Placebo,1,2,5,0.0006964,0.0133243,MOF_12m,2,0.6,0.4,0.9,,63,3591,38,3589,"0.40, 0.90",0.012,0,0,0,No. at risk for clinical Fx,post women aged 55+ BMD -2.5 to -3.5,48,514,47,6390,3197,3186
a_40,5,,Cosman_FRAME,2016,Cosman (2016)_a5,NEJM,International,Double,Romosozumab,Placebo,1,2,1,0.0001505,0.037092,MNworsenVert_12m,1,0.11,0.01,0.87,,9,3591,1,3589,"0.01, 0.87",0.011,0,0,0,,post women aged 55+ BMD -2.5 to -3.5,48,514,47,6390,3322,3321
a_41,5,,Cosman_FRAME,2016,Cosman (2016)_a6,NEJM,International,Double,Romosozumab,Placebo,1,4,40,0.0060132,1.14e-08,Vert_24m,1,0.25,0.16,0.4,,84,3591,21,3589,"0.16, 0.40",0.0001,1,0,0,,post women aged 55+ BMD -2.5 to -3.5,48,514,47,6026,3327,3325
a_42,5,,Cosman_FRAME,2016,Cosman (2016)_a7,NEJM,International,Double,Romosozumab,Placebo,1,4,17,0.0023677,0.0020181,ClinFx_24m,2,0.67,0.52,0.87,,147,3591,99,3589,"0.52, 0.87",0.002,0,0,0,,post women aged 55+ BMD -2.5 to -3.5,48,514,47,6026,3102,3589
a_43,5,,Cosman_FRAME,2016,Cosman (2016)_a8,NEJM,International,Double,Romosozumab,Placebo,1,4,4,0.0005571,0.0262684,NonVert_24m,2,0.75,0.57,0.97,,129,3591,96,3589,"0.57, 0.97",0.029,0,0,0,No. at risk for clinical Fx,post women aged 55+ BMD -2.5 to -3.5,48,514,47,6026,3084,3589
a_44,5,,Cosman_FRAME,2016,Cosman (2016)_a9,NEJM,International,Double,Romosozumab,Placebo,1,4,9,0.0012535,0.0085137,MajorNonVert_24m,2,0.67,0.49,0.91,,101,3591,67,3589,"0.49, 0.91",0.009,0,0,0,,post women aged 55+ BMD -2.5 to -3.5,48,514,47,6026,3056,3589
a_45,5,,Cosman_FRAME,2016,Cosman (2016)_a10,NEJM,International,Double,Romosozumab,Placebo,1,4,39,0.0058629,1.90e-08,NworsenVert_24m,1,0.26,0.16,0.42,,84,3591,22,3589,"0.16, 0.42",0.0001,0,0,0,,post women aged 55+ BMD -2.5 to -3.5,48,514,47,6026,3327,3325
a_46,5,,Cosman_FRAME,2016,Cosman (2016)_a11,NEJM,International,Double,Romosozumab,Placebo,1,4,15,0.0020891,0.001625,MOF_24m,2,0.62,0.46,0.84,,110,3591,68,3589,"0.46, 0.84",0.002,0,0,0,,post women aged 55+ BMD -2.5 to -3.5,48,514,47,6026,3065,3036
a_47,5,,Cosman_FRAME,2016,Cosman (2016)_a12,NEJM,International,Double,Romosozumab,Placebo,1,4,7,0.0010523,0.0058946,MNworsenVert_24m,1,0.06,0.01,0.44,,17,3591,1,3589,"0.01, 0.44",0.0001,0,0,0,,post women aged 55+ BMD -2.5 to -3.5,48,514,47,6026,3327,3325
a_48,6,1,Miller_ACTIVE,2016,Miller (2016)_a1,JAMA,International,Double,Abaloparatide,Alendronate,1,3,13,0.0092791,0.0001783,Vert_18m,1,0.14,0.05,0.39,,30,821,4,824,"[0.05,0.39]",0.0001,1,0,0,,"postw aged (i) 49+, -2.5 to -5, 2+ mild/1+ mod vert, low-trauma fx; (ii) 65+, -2.0 to -5, similar fx",402,95,8,1243,711,690
a_49,6,,Miller_ACTIVE,2016,Miller (2016)_a1,JAMA,International,Double,Teriparatide,Alendronate,1,3,11,0.0077031,0.0002693,Vert_18m,1,0.2,0.08,0.47,,30,821,6,818,"0.08, 0.47",0.0001,1,0,0,,"postw aged (i) 49+, -2.5 to -5, 2+ mild/1+ mod vert, low-trauma fx; (ii) 65+, -2.0 to -5, similar fx",344,93,7,1296,711,717
a_50,6,,Miller_ACTIVE,2016,Miller (2016)_a1,JAMA,International,Double,Abaloparatide,Alendronate,1,3,1,0.0006079,0.0347581,NonVert_18m,2,0.57,0.32,1,,33,821,18,824,"[0.32,1]",0.049,0,0,0,,"postw aged (i) 49+, -2.5 to -5, 2+ mild/1+ mod vert, low-trauma fx; (ii) 65+, -2.0 to -5, similar fx",402,95,8,1243,647,620
a_51,6,,Miller_ACTIVE,2016,Miller (2016)_a1,JAMA,International,Double,Abaloparatide,Alendronate,1,3,10,0.006079,0.0005721,MOF_18m,2,0.3,0.15,0.61,,34,821,10,824,"[0.15,0.61]",0.0001,0,0,0,,"postw aged (i) 49+, -2.5 to -5, 2+ mild/1+ mod vert, low-trauma fx; (ii) 65+, -2.0 to -5, similar fx",402,95,8,1243,650,616
a_52,6,,Miller_ACTIVE,2016,Miller (2016)_a1,JAMA,International,Double,Abaloparatide,Alendronate,1,3,5,0.0030395,0.0105725,ClinFx_18m,2,0.57,0.35,0.91,,49,821,27,824,"[0.35,0.91]",0.02,0,0,0,,"postw aged (i) 49+, -2.5 to -5, 2+ mild/1+ mod vert, low-trauma fx; (ii) 65+, -2.0 to -5, similar fx",402,95,8,1243,653,622
a_53,7b,2,Radford,2013,Radford (2013)_exta1,OI,New Zealand,Double,Calcium,Placebo,1,7,7,0.0047587,0.0103565,Forearm_60m,2,0.62,0.43,0.89,,75,739,47,732,[0.43-0.89],0.01,0,0,1,Extended study (whole 10y). Loss to FU= not contactable. No significant results found in the original 5-y trial,postm women aged 55+ in Auckland Cal Trial followed for another 5y (totally 10y),234,,194,,311,279
a_54,7b,,Radford,2013,Radford (2013)_exta2,OI,New Zealand,Double,Calcium,Placebo,1,7,5,0.003399,0.0092597,Vert_60m,2,0.52,0.32,0.85,NOTE: 95%CI (highlighted yellow) - is incorrect (reports value itself (not lower range)),46,739,24,732,[0.32-0.85],0.009,0,0,1,Extended study (whole 10y). Loss to FU= not contactable. No significant results found in the original 5-y trial,postm women aged 55+ in Auckland Cal Trial followed for another 5y (totally 10y),234,,194,,301,266
a_55,8,1,Boonen,2012,Boonen (2012)_a1,NEJM,International,Double,Zoledronate,Placebo,0,4,6,0.0053239,0.0037313,Vert_24m,1,0.33,0.16,0.7,,28,611,9,588,"[0.16,0.7]",0.002,1,0,0,Fx status at 24m was imputed using LOCF,"men aged 50+ <-1.5, 1 to 3 vert; <-2.5",16,47,33,1070,574,553
a_56,8,,Boonen,2012,Boonen (2012)_a2,NEJM,International,Double,Zoledronate,Placebo,0,4,6,0.0053239,0.0037313,Vert_24m,1,0.46,0.21,1,,20,611,9,588,"0.21, 1.00",0.0415,1,1,0,Sensitivity analysis for those w xray at 24m,"men aged 50+ <-1.5, 1 to 3 vert; <-2.5",16,47,33,1070,534,523
a_57,8,,Boonen,2012,Boonen (2012)_a3,NEJM,International,Double,Zoledronate,Placebo,0,2,2,0.0017746,0.0269318,Vert_12m,1,0.32,0.12,0.88,,16,611,5,588,"[0.12,0.88]",0.02,0,0,0,,"men aged 50+ <-1.5, 1 to 3 vert; <-2.5",16,47,33,1070,574,553
a_58,8,,Boonen,2012,Boonen (2012)_a4,NEJM,International,Double,Zoledronate,Placebo,0,4,4,0.0035492,0.0105581,NworsenVert_24m,1,0.41,0.21,0.81,NOTE: 95%CI (highlighted yellow) - is for Vert_24m (unsure if it is the same or not - included the 95% CI values in the 'lower' and 'upper' section left),28,611,11,588,"[0.16,0.7]",0.01,0,0,0,P<0.01,"men aged 50+ <-1.5, 1 to 3 vert; <-2.5",16,47,33,1070,574,553
a_59,8,,Boonen,2012,Boonen (2012)_a5,NEJM,International,Double,Zoledronate,Placebo,0,2,,,,NmodVert_12m,1,0.19,0.04,0.85,,11,611,2,588,"0.04, 0.85",0.02,0,0,0,P<0.05,"men aged 50+ <-1.5, 1 to 3 vert; <-2.5",16,47,33,1070,574,553
a_60,8,,Boonen,2012,Boonen (2012)_a6,NEJM,International,Double,Zoledronate,Placebo,0,4,,,,NmodVert_24m,1,0.37,0.15,0.92,,17,611,6,588,"0.15, 0.92",0.02,0,0,0,P<0.05,"men aged 50+ <-1.5, 1 to 3 vert; <-2.5",16,47,33,1070,574,553
a_61,9,1,Nakamura_TOWER,2012,Nakamura (2012)_a1,JCEM,Japan,Double,Teriparatide,Placebo,0.96,3,13,0.0288248,0.0001316,Vert_72w,1,0.2,0.09,0.45,Value is incorrect for e_intv (3.1% of 286 (the teriparatide condition) should equal 8.86 = 9),40,288,8,290,"0.09, 0.45",0.0001,1,0,0,,Pats aged 65+ w 1+ vert fx,,,7,442,245,206
a_62,9,,Nakamura_TOWER,2012,Nakamura (2012)_a2,JCEM,Japan,Double,Teriparatide,Placebo,0.96,2,4,0.0084034,0.0070259,Vert_48w,1,0.18,0.04,0.79,Values for e_con & e_intv are incorrect (should be 13/257 & 2/219),27,288,8,290,"[0.04,0.79]",0.02,0,0,0,,Pats aged 65+ w 1+ vert fx,,,7,,257,219
a_63,9,,Nakamura_TOWER,2012,Nakamura (2012)_a3,JCEM,Japan,Double,Teriparatide,Placebo,0.96,3,,,,Vert_72w,2,0.18,0.08,0.44,ONLY FOR WOMEN (MORPHOMETRIC VERTEBRAL FRACTURE),35,276,6,273,"0.08, 0.44",0.0001,1,1,0,No. women available not provided,Subgroup of women,,,7,442,233,193
a_64,9,,Nakamura_TOWER,2012,Nakamura (2012)_a4,JCEM,Japan,Double,Teriparatide,Placebo,0.96,3,,,,ClinVert_72w,2,0.27,0.09,0.8,,17,288,4,290,"0.09, 0.80",0.01,0,0,0,KM methods used,Pats aged 65+ w 1+ vert fx,,,7,442,245,206
a_65,9,,Nakamura_TOWER,2012,Nakamura (2012)_a5,JCEM,Japan,Double,Teriparatide,Placebo,0.96,3,,,,ClinFx_72w,2,0.37,0.18,0.82,,26,288,8,290,"0.18, 0.82",0.01,0,0,0,KM methods used,Pats aged 65+ w 1+ vert fx,,,7,442,245,206
a_66,9,,Nakamura_TOWER,2012,Nakamura (2012)_a6,JCEM,Japan,Double,Teriparatide,Placebo,0.96,3,,,,ClinVert_72w,2,0.22,0.06,0.74,ONLY FOR WOMEN (CLINICAL FRAGILITY VERTEBRAL FRACTURE),16,276,3,273,"0.06, 0.74",0.0001,0,1,0,No. women available not provided,Subgroup of women,,,7,442,233,193
a_67,9,,Nakamura_TOWER,2012,Nakamura (2012)_a7,JCEM,Japan,Double,Teriparatide,Placebo,0.96,3,,,,ClinFx_72w,2,0.36,0.16,0.8,ONLY FOR WOMEN (CLINICAL FRAGILITY FRACTURE),25,276,6,273,"0.16, 0.80",0.0001,0,1,0,No. women available not provided,Subgroup of women,,,7,442,233,193
a_68,10,1,Cummings_FREEDOM,2009,Cummings (2009)_a1,NEJM,International,Double,Denosumab,Placebo,1,5,137,0.018531,2.95e-20,Vert_36m,1,0.32,0.26,0.41,,264,3935,86,3933,"[0.26,0.41]",0.0001,1,0,0,No flowchart provided.,postm women aged 60+ -2.5 to -4,,,,6478,3691,3702
a_69,10,,Cummings_FREEDOM,2009,Cummings (2009)_a2,NEJM,International,Double,Denosumab,Placebo,1,5,11,0.0014088,0.0140973,NonVert_36m,2,0.8,0.67,0.95,,293,3935,238,3933,"[0.67,0.95]",0.01,0,0,0,No flowchart. 3906 (C)/3902 (I) for Cox PH,postm women aged 60+ -2.5 to -4,,,,6478,3302,3368
a_70,10,,Cummings_FREEDOM,2009,Cummings (2009)_a3,NEJM,International,Double,Denosumab,Placebo,1,5,1,0.0001281,0.0424125,Hip_36m,2,0.6,0.37,0.97,,43,3935,26,3933,"[0.37,0.97]",0.04,0,0,0,No flowchart. 3906 (C)/3902 (I) for Cox PH,postm women aged 60+ -2.5 to -4,,,,6478,3264,3337
a_71,10,,Cummings_FREEDOM,2009,Cummings (2009)_a4,NEJM,International,Double,Denosumab,Placebo,1,5,39,0.0049949,5.12e-08,ClinVert_36m,1,0.31,0.2,0.47,,92,3935,29,3933,"[0.2,0.47]",0.0001,0,0,0,No flowchart,postm women aged 60+ -2.5 to -4,,,,6478,3906,3902
a_72,10,,Cummings_FREEDOM,2009,Cummings (2009)_a5,NEJM,International,Double,Denosumab,Placebo,1,5,17,0.0022995,0.0001126,MVert_36m,1,0.39,0.24,0.63,,59,3935,23,3933,"0.24, 0.63",0.0001,0,0,0,No flowchart,postm women aged 60+ -2.5 to -4,,,,6478,3691,3702
